team,posterior_mean,hdi_3,hdi_97
Team Vitality,1966.4472214550703,1850.8353744640428,2090.275496493271
Team Spirit,1857.2846286809247,1739.7179203550077,1970.526499383297
MOUZ,1803.982440214738,1687.1885276350006,1911.4173354047957
Team Falcons,1757.3218207683574,1643.230597652272,1868.3639741104653
Eternal Fire,1739.1884776617549,1603.1542499570774,1872.5076213367195
The Mongolz,1735.4320662183122,1626.2935570352486,1835.2572929085518
Betclic,1704.8163460477197,1531.2423633958833,1888.8557116716065
Natus Vincere,1703.091584170826,1591.9264943138594,1810.2217291700154
FURIA Esports,1692.9884423976719,1583.2965518219871,1797.6201048498576
G2 Esports,1655.8277306497737,1545.6253944602065,1755.5181497187602
FaZe Clan,1627.1635507969545,1520.1027043161548,1733.4615247633105
HOTU,1600.5650043041564,1425.1078849769071,1778.69739719722
Aurora Gaming,1598.9287702591464,1484.334121370083,1712.5824522631672
B8 Esports,1589.6163386214025,1480.85386316503,1697.3118000145025
Gentle Mates,1580.5538565404702,1428.1231103152675,1743.5144553913403
Astralis,1569.5898741367762,1461.5328840646828,1671.4095377417054
Team Liquid,1565.7495341722195,1452.0218071852896,1675.8643757040245
Team 3DMAX,1561.2852124934486,1458.2038791711354,1661.1133712111348
GamerLegion,1554.9393242427946,1446.113095888034,1657.5612564591506
FUT Esports,1547.3169090665642,1369.7856272245185,1721.7372574610229
PARIVISION,1545.0410245361604,1416.150286141007,1671.9775390433842
Ninjas in Pyjamas,1538.7040451525136,1416.6774140584307,1651.9192745995413
Heroic,1534.846375346344,1421.4593384359155,1642.6416950502069
Virtus.pro,1526.8601807078064,1417.0316110623912,1632.0284770239614
paiN Gaming,1525.306171234961,1409.5628945611745,1626.89284318084
OG,1521.0583181354546,1393.232155642348,1641.0898094031845
Iberian Soul,1513.405243891541,1312.6823943972959,1712.053277735892
Legacy,1510.0678226665616,1393.4573581609177,1623.4082707431037
SAW,1496.3073165237279,1375.9314349942852,1615.0893830787427
TYLOO,1490.0979993446479,1365.1744394298871,1607.131697246662
BetBoom Team,1489.2036457601544,1367.6335414158268,1604.7634334119775
Passion UA,1463.7625432538746,1329.9789596728456,1582.586183472408
M80,1462.242433223399,1338.4004370325208,1585.0618844705018
Nemiga Gaming,1445.4881454394251,1328.3247393873694,1555.839499173312
Imperial Esports,1441.9630312682095,1301.8269629739927,1587.8910678524005
Hesta,1435.9167992912066,1199.775932187413,1636.7419557080514
BCGame,1433.213748093525,1277.8910885318855,1579.458092662474
Metizport,1430.9918739522761,1290.692635039715,1572.720882198951
Lynn Vision Gaming,1424.070519068599,1300.0944702591978,1546.7241133837256
Fnatic,1413.4880955451988,1295.3285181319636,1525.116714711675
Natus Vincere Junior,1409.0031636100111,1207.55406967041,1593.0337963001564
FlyQuest,1405.4120558156812,1279.1098833031772,1527.8480276680637
Complexity,1405.0549906203453,1266.3456685759515,1529.0597573282064
9INE,1398.8687253949909,1247.8600699856684,1563.1768174526235
TEAM NEXT LEVEL,1395.2970120132918,1237.6726746994013,1534.8293651673132
Wildcard Gaming,1390.065072824266,1230.7926589361155,1535.6841927073247
MIBR,1385.6395400315882,1265.8941825451373,1505.9639798241562
ENCE,1381.90959549635,1249.2453025350821,1496.9524119715654
Sashi Esport,1361.3293547203014,1174.5476147574545,1539.5423394099591
BIG,1352.2236855655194,1227.6525280053975,1484.641436657141
9Pandas,1345.7578378963224,1175.1371168674962,1510.0634719714799
Fluxo,1327.1287242738522,1157.0031758492987,1491.6980737014142
NRG Esports,1311.589859649484,1157.2149870825062,1454.1720475702507
Leo Team,1302.235788327741,1072.5775944403888,1515.756732231198
500,1281.6809286502316,1086.2724856835637,1464.146978904729
ECSTATIC,1268.0285287995919,1059.5980610220145,1453.7897194169718
Zero Tenacity,1263.5445281944476,1052.8992323623838,1465.1421586025806
The Huns Esports,1180.7383357154768,908.461800306518,1418.1841468691152
Rare Atom,1092.6216281250433,823.8695055042983,1307.344527559791
Dynamo Eclot,903.4597827415255,500.2330440257131,1237.1143563306855
