team,month,datetime,elo
Aurora Gaming,2023-10,2023-10-31 21:00:00+00:00,1548.0999877744339
Aurora Gaming,2023-11,2023-11-20 20:55:00+00:00,1450.8825805653005
Aurora Gaming,2023-12,2023-12-13 18:00:00+00:00,1510.435478833427
Aurora Gaming,2024-01,2024-01-19 22:00:00+00:00,1463.522388826274
Aurora Gaming,2024-02,2024-02-29 21:30:00+00:00,1542.1415297766207
Aurora Gaming,2024-03,2024-03-28 20:00:00+00:00,1649.0674968258193
Aurora Gaming,2024-04,2024-04-28 12:30:00+00:00,1691.3314225011607
Aurora Gaming,2024-05,2024-05-29 13:30:00+00:00,1625.9770200416997
Aurora Gaming,2024-06,2024-06-16 11:00:00+00:00,1573.1059605049595
Aurora Gaming,2024-07,2024-07-28 13:50:00+00:00,1592.9597951003932
Aurora Gaming,2024-08,2024-08-30 20:30:00+00:00,1562.2748434859666
Aurora Gaming,2024-09,2024-09-28 16:45:00+00:00,1591.4583423589372
Aurora Gaming,2024-10,2024-10-24 18:30:00+00:00,1507.6083911104572
Aurora Gaming,2024-11,2024-11-23 07:00:00+00:00,1507.0562244207774
Aurora Gaming,2025-01,2025-01-28 22:00:00+00:00,1460.3638390373442
Aurora Gaming,2025-02,2025-02-26 22:00:00+00:00,1481.0932059990625
Aurora Gaming,2025-03,2025-03-31 19:00:00+00:00,1474.4565638705778
Aurora Gaming,2025-04,2025-04-11 14:45:00+00:00,1512.6078979531815
Aurora Gaming,2025-05,2025-05-23 21:15:00+00:00,1627.060293156874
Aurora Gaming,2025-06,2025-06-14 20:25:00+00:00,1613.9842128840353
Aurora Gaming,2025-07,2025-07-29 14:30:00+00:00,1618.9138840358262
Aurora Gaming,2025-08,2025-08-24 13:40:00+00:00,1696.0724118303576
Aurora Gaming,2025-09,2025-09-19 15:20:00+00:00,1726.7418978082856
Aurora Gaming,2025-10,2025-10-31 17:15:00+00:00,1726.0676468779634
Aurora Gaming,2025-11,2025-11-30 18:00:00+00:00,1717.3044472840575
Aurora Gaming,2025-12,2025-12-01 19:20:00+00:00,1698.2908437065732
Aurora Gaming,2026-01,2026-01-30 19:10:00+00:00,1707.4253213247182
Aurora Gaming,2026-02,2026-02-20 18:55:00+00:00,1744.7270633075325
Aurora Gaming,2026-03,2026-03-31 21:35:00+00:00,1794.1290594069017
Aurora Gaming,2026-04,2026-04-15 23:30:00+00:00,1772.0599284322009
Aurora Gaming,2026-05,2026-05-15 08:00:00+00:00,1766.6109417827006
