method,tier,n,ece_before,ece_after,logloss_before,logloss_after
none,tier1,643,0.020181820274429333,0.020181820274429333,0.6226996036077619,0.6226996036077619
none,tier2,926,0.03444936663438492,0.03444936663438492,0.6522299016946147,0.6522299016946147
none,tier3,242,0.07883195512968888,0.07883195512968888,0.6219986021705753,0.6219986021705753
none,ALL,1811,0.018492760269500794,0.018492760269500794,0.6377053538455457,0.6377053538455457
isotonic,tier1,643,0.020181820274429333,0.04107980042890525,0.6226996036077619,0.6242206549947485
isotonic,tier2,926,0.03444936663438492,0.03220898862293083,0.6522299016946147,0.65247447587364
isotonic,tier3,242,0.07883195512968888,0.06156339233014846,0.6219986021705753,0.751716541897943
isotonic,ALL,1811,0.018492760269500794,0.031735240785814946,0.6377053538455457,0.6557043892655527
platt,tier1,643,0.020181820274429333,0.032626590199475246,0.6226996036077619,0.6228367573004941
platt,tier2,926,0.03444936663438492,0.022920905908543163,0.6522299016946147,0.6516858640793914
platt,tier3,242,0.07883195512968888,0.06689143292089601,0.6219986021705753,0.6199409589563212
platt,ALL,1811,0.018492760269500794,0.023250668715978605,0.6377053538455457,0.6372009150464738
platt-sel,tier1,643,0.020181820274429333,0.032626590199475246,0.6226996036077619,0.6228367573004941
platt-sel,tier2,926,0.03444936663438492,0.022920905908543163,0.6522299016946147,0.6516858640793914
platt-sel,tier3,242,0.07883195512968888,0.06689143292089601,0.6219986021705753,0.6199409589563212
platt-sel,ALL,1811,0.018492760269500794,0.023250668715978605,0.6377053538455457,0.6372009150464738
