team,streak_length,streak_start,streak_end
Team Vitality,30,2025-02-01 16:30:00+01:00,2025-05-26 00:30:00+02:00
FaZe Clan,18,2023-10-16 15:30:00+02:00,2023-11-25 22:40:00+01:00
Team Vitality,18,2026-01-31 23:15:00+01:00,2026-04-14 18:00:00+02:00
The Mongolz,13,2024-10-22 14:30:00+02:00,2024-12-06 12:10:00+01:00
ESC Gaming,13,2025-09-14 22:00:00+02:00,2025-09-21 21:00:00+02:00
Imperial Female,13,2024-05-31 20:00:00+02:00,2024-11-24 19:30:00+01:00
Team Spirit,13,2026-05-09 15:00:00+02:00,2026-06-19 18:45:00+02:00
EYEBALLERS,13,2025-11-07 20:00:00+01:00,2026-01-13 17:30:00+01:00
Team 3DMAX,13,2024-06-10 15:00:00+02:00,2024-06-16 18:15:00+02:00
MIBR,13,2024-04-03 00:30:00+02:00,2024-04-19 07:10:00+02:00
Team Spirit,12,2024-12-05 13:30:00+01:00,2025-02-02 16:30:00+01:00
Sangal Esports,12,2024-07-26 22:00:00+02:00,2024-09-03 19:30:00+02:00
Oramond,12,2025-11-04 16:30:00+01:00,2025-11-22 15:30:00+01:00
Grayhound Gaming,11,2024-01-20 12:30:00+01:00,2024-02-26 06:55:00+01:00
SAW,11,2024-02-15 17:25:00+01:00,2024-03-18 01:30:00+01:00
BetBoom Team,11,2025-08-16 22:00:00+02:00,2025-08-31 21:35:00+02:00
Team Vitality,11,2024-07-29 19:30:00+02:00,2024-09-15 22:30:00+02:00
Sashi Esport,10,2024-04-20 18:30:00+02:00,2024-05-15 15:00:00+02:00
FURIA Esports,10,2025-11-07 14:10:00+01:00,2025-12-05 23:50:00+01:00
MOUZ,10,2024-04-30 16:30:00+02:00,2024-05-19 18:00:00+02:00
PARIVISION,10,2025-01-23 23:00:00+01:00,2025-02-05 13:15:00+01:00
Team Spirit,10,2025-07-27 16:30:00+02:00,2025-08-17 19:00:00+02:00
BIG,9,2025-12-12 19:30:00+01:00,2026-01-29 22:00:00+01:00
Team Vitality,9,2025-12-04 22:00:00+01:00,2026-01-23 19:00:00+01:00
Betclic,9,2025-03-07 16:00:00+01:00,2025-03-14 16:45:00+01:00
BIG,9,2023-11-30 20:30:00+01:00,2024-01-18 19:00:00+01:00
Natus Vincere Junior,9,2025-05-29 19:45:00+02:00,2025-07-14 23:30:00+02:00
Zero Tenacity,9,2024-08-28 17:00:00+02:00,2024-09-06 15:40:00+02:00
Team Evelone,9,2025-03-22 00:00:00+01:00,2026-03-17 22:30:00+01:00
HOTU,9,2025-09-10 13:00:00+02:00,2025-09-19 13:00:00+02:00
Nemiga Gaming,9,2026-04-25 20:30:00+02:00,2026-05-27 16:00:00+02:00
PARIVISION,9,2025-08-08 13:00:00+02:00,2025-08-17 21:00:00+02:00
Natus Vincere Junior,9,2025-04-17 16:00:00+02:00,2025-05-06 13:00:00+02:00
Natus Vincere,9,2024-09-03 16:30:00+02:00,2024-09-28 23:30:00+02:00
Team Spirit,9,2025-05-10 18:05:00+02:00,2025-06-13 21:35:00+02:00
B8 Esports,9,2025-05-04 09:55:00+02:00,2025-06-07 20:00:00+02:00
Heroic,9,2025-04-26 13:00:00+02:00,2025-05-20 05:10:00+02:00
Team Vitality,9,2023-11-22 18:50:00+01:00,2024-01-22 19:30:00+01:00
Team Spirit,9,2024-01-31 20:55:00+01:00,2024-02-19 23:45:00+01:00
Team Vitality,9,2025-06-13 03:00:00+02:00,2025-07-29 19:35:00+02:00
Nemiga Gaming,9,2024-01-16 21:00:00+01:00,2024-03-05 21:00:00+01:00
Team Falcons,8,2025-04-08 17:40:00+02:00,2025-04-22 13:45:00+02:00
Aurora Gaming,8,2024-04-10 23:00:00+02:00,2024-04-18 00:00:00+02:00
AMKAL Esports,8,2024-01-18 01:05:00+01:00,2024-02-08 22:30:00+01:00
The Mongolz,8,2024-04-02 17:30:00+02:00,2024-04-25 16:30:00+02:00
Monte,8,2024-07-26 14:00:00+02:00,2024-08-19 22:05:00+02:00
Rebels Gaming,8,2024-08-23 14:00:00+02:00,2024-09-24 21:00:00+02:00
Natus Vincere,8,2026-03-10 16:30:00+01:00,2026-03-28 20:40:00+01:00
Team Spirit Academy,8,2024-12-10 20:45:00+01:00,2025-01-23 13:00:00+01:00
9Pandas,8,2024-10-28 15:35:00+01:00,2024-11-09 16:15:00+01:00
paiN Gaming,8,2024-07-29 00:30:00+02:00,2024-08-04 04:00:00+02:00
Gaimin Gladiators,8,2024-08-26 19:30:00+02:00,2024-09-05 13:00:00+02:00
Nemiga Gaming,8,2026-01-22 19:40:00+01:00,2026-01-30 18:20:00+01:00
Team Vitality,8,2026-04-17 23:15:00+02:00,2026-05-11 23:00:00+02:00
Team Spirit Academy,8,2024-10-03 19:20:00+02:00,2024-12-06 13:00:00+01:00
Sinners Esports,8,2025-01-21 23:00:00+01:00,2025-02-01 23:50:00+01:00
Gentle Mates,8,2026-02-12 15:15:00+01:00,2026-02-22 15:00:00+01:00
Sinners Esports,8,2024-03-13 22:00:00+01:00,2024-04-10 23:00:00+02:00
Sinners Esports,8,2024-08-21 15:00:00+02:00,2024-08-28 14:30:00+02:00
OG,8,2025-03-05 16:00:00+01:00,2025-03-11 16:00:00+01:00
The Mongolz,8,2024-05-28 15:15:00+02:00,2024-06-06 19:00:00+02:00
GamerLegion,8,2026-02-22 21:00:00+01:00,2026-03-23 18:15:00+01:00
Passion UA,8,2024-09-27 20:20:00+02:00,2024-10-06 15:30:00+02:00
1win Team,8,2023-10-06 22:00:00+02:00,2023-10-27 22:00:00+02:00
magic,8,2026-03-31 19:00:00+02:00,2026-04-05 13:00:00+02:00
ALTERNATE aTTaX,8,2024-08-19 21:30:00+02:00,2024-08-28 22:00:00+02:00
Legacy,8,2024-06-06 05:30:00+02:00,2024-08-03 19:00:00+02:00
B8 Esports,8,2025-04-15 13:00:00+02:00,2025-04-26 20:30:00+02:00
BET-M 33,8,2025-08-23 19:30:00+02:00,2025-09-09 22:00:00+02:00
Team Shadowkek,7,2025-04-26 19:45:00+02:00,2025-04-30 22:15:00+02:00
BIG,7,2026-03-03 22:45:00+01:00,2026-03-26 16:00:00+01:00
los kogutos,7,2026-02-13 19:00:00+01:00,2026-02-20 15:00:00+01:00
B8 Esports,7,2024-08-17 00:25:00+02:00,2024-08-19 23:20:00+02:00
Aurora Gaming,7,2024-03-22 23:00:00+01:00,2024-03-28 21:00:00+01:00
PARIVISION,7,2026-01-16 14:00:00+01:00,2026-01-29 17:00:00+01:00
PARI,7,2024-11-09 21:00:00+01:00,2024-11-15 23:30:00+01:00
BetBoom Team,7,2025-11-07 15:00:00+01:00,2025-11-08 16:00:00+01:00
Team 3DMAX,7,2024-09-24 13:00:00+02:00,2024-09-27 22:30:00+02:00
Team Spirit,7,2024-02-21 20:30:00+01:00,2024-03-22 20:30:00+01:00
BetBoom Team,7,2025-04-15 16:45:00+02:00,2025-04-18 20:10:00+02:00
BetBoom Team,7,2026-02-10 14:30:00+01:00,2026-02-21 18:30:00+01:00
Team By_Owl,7,2025-01-11 18:20:00+01:00,2025-08-18 19:00:00+02:00
УУНиТ,7,2025-05-17 13:00:00+02:00,2025-06-15 18:50:00+02:00
Complexity,7,2025-04-02 13:00:00+02:00,2025-04-07 19:05:00+02:00
BIG,7,2026-04-04 21:40:00+02:00,2026-04-26 13:00:00+02:00
Aurora Gaming,7,2024-02-28 22:30:00+01:00,2024-03-02 20:00:00+01:00
DRILLAS,7,2024-08-28 20:00:00+02:00,2024-09-26 17:00:00+02:00
Cloud9,7,2024-08-19 01:30:00+02:00,2024-08-22 16:00:00+02:00
Team Vitality,7,2025-10-05 19:15:00+02:00,2025-11-03 08:30:00+01:00
ESC Gaming,7,2025-10-03 22:30:00+02:00,2025-10-11 19:00:00+02:00
Heroic,7,2024-01-10 19:50:00+01:00,2024-01-18 20:05:00+01:00
K27,7,2025-11-25 20:55:00+01:00,2025-12-21 17:00:00+01:00
Турция,7,2024-07-06 21:00:00+02:00,2024-07-15 00:00:00+02:00
BIG,7,2025-10-21 15:00:00+02:00,2025-11-09 13:00:00+01:00
HOTU,7,2025-09-22 13:00:00+02:00,2025-10-04 16:30:00+02:00
Румыния,7,2024-11-14 21:00:00+01:00,2024-11-17 19:30:00+01:00
Team Nemesis,7,2026-04-23 18:00:00+02:00,2026-05-26 22:00:00+02:00
PARIVISION,7,2025-09-25 23:00:00+02:00,2025-11-24 17:15:00+01:00
Team Liquid,7,2024-01-14 04:00:00+01:00,2024-01-20 06:30:00+01:00
Looking4Org,7,2023-10-09 23:00:00+02:00,2023-10-18 22:00:00+02:00
BetBoom Team,7,2026-01-27 12:00:00+01:00,2026-02-06 14:00:00+01:00
9Pandas,7,2024-07-28 23:00:00+02:00,2024-08-21 21:10:00+02:00
ARCRED,7,2026-03-04 21:00:00+01:00,2026-03-10 22:05:00+01:00
Eternal Fire,6,2024-01-18 19:00:00+01:00,2024-02-03 16:30:00+01:00
FAVBET Team,6,2025-09-25 19:30:00+02:00,2025-10-01 18:00:00+02:00
Bleed Esports,6,2024-04-18 14:00:00+02:00,2024-04-22 20:00:00+02:00
G2 Esports,6,2026-03-31 02:40:00+02:00,2026-04-13 18:00:00+02:00
Metizport,6,2024-08-06 18:30:00+02:00,2024-08-19 01:55:00+02:00
Gaimin Gladiators,6,2024-04-10 17:00:00+02:00,2024-04-21 18:30:00+02:00
BESTIA,6,2026-03-28 14:00:00+01:00,2026-03-30 22:40:00+02:00
ENCE,6,2025-05-16 22:40:00+02:00,2025-05-31 23:00:00+02:00
9Pandas,6,2025-03-06 15:30:00+01:00,2025-03-09 16:00:00+01:00
MOUZ,6,2025-02-18 16:55:00+01:00,2025-03-08 19:15:00+01:00
TEAM NEXT LEVEL,6,2025-03-22 19:00:00+01:00,2025-03-28 19:00:00+01:00
Nemiga Gaming,6,2025-04-02 20:30:00+02:00,2025-04-14 23:50:00+02:00
FaZe Clan,6,2025-11-26 20:00:00+01:00,2025-12-04 18:50:00+01:00
Nuclear TigeRES,6,2025-10-30 13:30:00+01:00,2025-11-09 19:00:00+01:00
9Pandas,6,2023-11-14 16:00:00+01:00,2023-11-22 16:00:00+01:00
CS2NEWS,6,2024-11-08 21:00:00+01:00,2024-11-14 21:00:00+01:00
ex-RUBY,6,2026-03-04 19:00:00+01:00,2026-03-13 22:30:00+01:00
Natus Vincere Junior,6,2025-02-26 20:00:00+01:00,2025-03-06 13:00:00+01:00
illwill,6,2026-02-22 18:45:00+01:00,2026-02-23 13:00:00+01:00
eLITenergy,6,2026-04-04 22:00:00+02:00,2026-04-09 22:00:00+02:00
G2 Esports,6,2024-10-30 15:20:00+01:00,2024-11-21 15:00:00+01:00
Team Spirit,6,2023-11-07 22:00:00+01:00,2023-12-06 18:00:00+01:00
OG,6,2025-08-15 16:30:00+02:00,2025-08-21 19:00:00+02:00
The Witchers,6,2023-12-27 20:45:00+01:00,2024-01-17 00:30:00+01:00
Team Spirit Academy,6,2025-04-18 16:25:00+02:00,2025-05-07 19:00:00+02:00
Wildcard Gaming,6,2024-08-26 23:15:00+02:00,2024-08-31 06:30:00+02:00
Fnatic,6,2025-08-29 15:00:00+02:00,2025-08-31 20:00:00+02:00
Virtus.pro,6,2026-05-26 20:00:00+02:00,2026-06-09 19:00:00+02:00
Bleed Esports,6,2024-02-28 14:00:00+01:00,2024-03-05 17:00:00+01:00
Sangal Esports,6,2024-06-04 22:00:00+02:00,2024-06-09 20:45:00+02:00
SAW,6,2024-07-25 17:00:00+02:00,2024-08-11 18:45:00+02:00
FORZE,6,2023-12-05 23:00:00+01:00,2023-12-09 22:00:00+01:00
Virtus.pro,6,2023-10-29 13:00:00+01:00,2023-11-04 22:30:00+01:00
Virtus.pro,6,2024-02-14 15:00:00+01:00,2024-03-12 22:30:00+01:00
NRG Esports,6,2026-01-04 19:00:00+01:00,2026-01-12 01:00:00+01:00
Team 3DMAX,6,2024-07-27 19:50:00+02:00,2024-08-04 00:15:00+02:00
Legacy,6,2025-06-05 20:00:00+02:00,2025-06-12 20:00:00+02:00
Team Liquid,6,2024-11-12 17:00:00+01:00,2024-12-01 09:10:00+01:00
HOTU,6,2026-02-19 23:00:00+01:00,2026-02-26 14:00:00+01:00
Nemiga Gaming,6,2024-04-22 14:00:00+02:00,2024-05-03 20:00:00+02:00
G2 Esports,6,2025-08-31 23:00:00+02:00,2025-09-13 16:50:00+02:00
Nemiga Gaming,6,2025-10-31 22:30:00+01:00,2025-11-08 22:30:00+01:00
FUT Esports,6,2026-04-04 12:00:00+02:00,2026-04-11 19:00:00+02:00
Team Spirit,6,2023-10-18 22:00:00+02:00,2023-10-25 14:00:00+02:00
Oramond,6,2026-01-26 16:30:00+01:00,2026-02-02 16:00:00+01:00
Preasy Esport,6,2023-11-12 23:30:00+01:00,2023-11-19 22:00:00+01:00
MOUZ NXT,6,2024-02-26 17:00:00+01:00,2024-04-15 14:00:00+02:00
Walczaki,6,2026-06-15 15:30:00+02:00,2026-06-24 14:00:00+02:00
Donstu Esports,6,2024-11-27 19:10:00+01:00,2025-12-23 12:30:00+01:00
Natus Vincere,6,2024-01-18 19:00:00+01:00,2024-01-27 18:25:00+01:00
Team Vitality,6,2024-11-17 08:00:00+01:00,2024-12-06 09:20:00+01:00
CYBERSHOKE Esports,6,2025-10-23 16:00:00+02:00,2025-10-31 16:30:00+01:00
Zero Tenacity,6,2025-08-11 22:00:00+02:00,2025-08-24 22:00:00+02:00
GamerLegion,6,2024-11-18 14:45:00+01:00,2024-11-30 15:50:00+01:00
Team Falcons,6,2024-08-24 18:30:00+02:00,2024-08-26 22:45:00+02:00
B8 Esports,6,2025-02-19 23:00:00+01:00,2025-02-26 23:00:00+01:00
B8 Esports,6,2024-05-02 14:00:00+02:00,2024-05-14 15:00:00+02:00
Virtus.pro,6,2023-12-15 20:50:00+01:00,2024-01-18 21:45:00+01:00
Nemiga Gaming,6,2024-06-04 20:00:00+02:00,2024-06-11 23:00:00+02:00
9INE,6,2025-08-12 22:00:00+02:00,2025-08-16 01:00:00+02:00
Astralis,6,2026-03-15 16:30:00+01:00,2026-04-10 19:00:00+02:00
Metizport,6,2024-03-03 21:00:00+01:00,2024-03-09 20:20:00+01:00
Monte,6,2024-09-17 16:00:00+02:00,2024-09-24 22:55:00+02:00
FURIA Esports,6,2025-10-15 13:30:00+02:00,2025-11-04 06:00:00+01:00
Natus Vincere,6,2024-03-24 22:00:00+01:00,2024-05-02 16:30:00+02:00
FaZe Clan,6,2024-04-10 10:30:00+02:00,2024-04-23 22:30:00+02:00
HOTU,6,2026-01-21 14:00:00+01:00,2026-01-27 15:45:00+01:00
Zero Tenacity,6,2024-06-01 18:30:00+02:00,2024-06-05 20:00:00+02:00
CYBERSHOKE Esports,6,2025-09-28 13:30:00+02:00,2025-10-03 19:25:00+02:00
WHITEBIRD,6,2026-02-19 22:00:00+01:00,2026-02-27 21:00:00+01:00
MOUZ,6,2024-02-19 15:00:00+01:00,2024-03-22 18:05:00+01:00
Rooster,6,2024-08-21 15:30:00+02:00,2024-08-28 14:00:00+02:00
xGoat,5,2025-12-20 10:00:00+01:00,2025-12-23 19:15:00+01:00
Walczaki,5,2026-05-04 22:00:00+02:00,2026-05-14 22:00:00+02:00
EYEBALLERS,5,2025-08-20 19:10:00+02:00,2025-08-29 18:00:00+02:00
9INE,5,2025-02-11 19:00:00+01:00,2025-02-18 13:00:00+01:00
Ninjas in Pyjamas,5,2026-03-13 01:30:00+01:00,2026-03-15 23:55:00+01:00
9z Team,5,2024-06-15 18:15:00+02:00,2024-07-25 20:00:00+02:00
Apeks,5,2023-11-16 23:00:00+01:00,2023-11-18 23:00:00+01:00
ct0m + Yatoro Team,5,2024-10-11 16:20:00+02:00,2024-10-12 22:00:00+02:00
GamerLegion,5,2025-02-10 17:00:00+01:00,2025-03-03 16:10:00+01:00
Lavked,5,2026-04-26 22:00:00+02:00,2026-04-30 22:00:00+02:00
BetBoom Team,5,2026-03-28 19:00:00+01:00,2026-04-01 17:30:00+02:00
FURIA Esports,5,2026-06-11 19:10:00+02:00,2026-06-20 18:45:00+02:00
Natus Vincere,5,2025-09-18 23:10:00+02:00,2025-10-04 18:30:00+02:00
OG,5,2024-08-15 00:00:00+02:00,2024-08-15 23:35:00+02:00
Германия,5,2024-11-14 15:00:00+01:00,2024-11-15 20:40:00+01:00
Walczaki,5,2026-04-24 22:00:00+02:00,2026-04-27 13:00:00+02:00
BetBoom Team,5,2024-04-04 18:00:00+02:00,2024-04-10 20:00:00+02:00
Metizport,5,2025-03-27 22:30:00+01:00,2025-03-31 22:00:00+02:00
TEAM NEXT LEVEL,5,2025-05-20 16:00:00+02:00,2025-05-31 20:45:00+02:00
Team Falcons,5,2025-08-24 12:00:00+02:00,2025-09-20 00:10:00+02:00
500,5,2024-02-26 15:00:00+01:00,2024-03-27 22:00:00+01:00
FORZE Reload,5,2025-08-07 15:30:00+02:00,2025-08-20 19:00:00+02:00
Team Liquid,5,2024-07-31 22:30:00+02:00,2024-08-08 18:45:00+02:00
B8 Esports,5,2025-02-02 14:00:00+01:00,2025-02-06 21:20:00+01:00
