team_a,team_b,a_wins,b_wins,n
MOUZ,Team Vitality,4.0,14.0,18
Team Vitality,MOUZ,14.0,4.0,18
MOUZ,FaZe Clan,6.0,11.0,17
FaZe Clan,MOUZ,11.0,6.0,17
Team Spirit,MOUZ,11.0,5.0,16
MOUZ,Team Spirit,5.0,11.0,16
FaZe Clan,Team Vitality,4.0,11.0,15
MOUZ,Team Falcons,7.0,8.0,15
G2 Esports,Team Spirit,7.0,8.0,15
Team Vitality,The Mongolz,13.0,2.0,15
Team Spirit,G2 Esports,8.0,7.0,15
Team Falcons,MOUZ,8.0,7.0,15
Team Vitality,FaZe Clan,11.0,4.0,15
The Mongolz,Team Vitality,2.0,13.0,15
G2 Esports,Natus Vincere,3.0,11.0,14
Natus Vincere,G2 Esports,11.0,3.0,14
Natus Vincere,Team Spirit,2.0,12.0,14
Team Spirit,Natus Vincere,12.0,2.0,14
Heroic,Ninjas in Pyjamas,7.0,6.0,13
B8 Esports,PARIVISION,6.0,7.0,13
Natus Vincere,FaZe Clan,8.0,5.0,13
Ninjas in Pyjamas,Heroic,6.0,7.0,13
FaZe Clan,G2 Esports,5.0,8.0,13
PARIVISION,B8 Esports,7.0,6.0,13
FaZe Clan,Natus Vincere,5.0,8.0,13
G2 Esports,FaZe Clan,8.0,5.0,13
ENCE,Fnatic,7.0,5.0,12
Monte,PARIVISION,7.0,5.0,12
Imperial Esports,paiN Gaming,4.0,8.0,12
paiN Gaming,Imperial Esports,8.0,4.0,12
Team Vitality,G2 Esports,8.0,4.0,12
PARIVISION,Monte,5.0,7.0,12
G2 Esports,Team Vitality,4.0,8.0,12
Fnatic,ENCE,5.0,7.0,12
MOUZ,G2 Esports,8.0,3.0,11
Aurora Gaming,PARIVISION,7.0,4.0,11
Team Falcons,Team Vitality,5.0,6.0,11
Aurora Gaming,FURIA Esports,3.0,8.0,11
Lynn Vision Gaming,TYLOO,7.0,4.0,11
Team 3DMAX,The Mongolz,4.0,7.0,11
PARIVISION,Aurora Gaming,4.0,7.0,11
Aurora Gaming,The Mongolz,4.0,7.0,11
The Mongolz,FURIA Esports,5.0,6.0,11
Team Spirit,Team Falcons,6.0,5.0,11
Heroic,BIG,6.0,5.0,11
G2 Esports,MOUZ,3.0,8.0,11
The Mongolz,Team 3DMAX,7.0,4.0,11
The Mongolz,G2 Esports,8.0,3.0,11
Natus Vincere,The Mongolz,8.0,3.0,11
The Mongolz,Aurora Gaming,7.0,4.0,11
The Mongolz,Natus Vincere,3.0,8.0,11
Team Falcons,Team Spirit,5.0,6.0,11
G2 Esports,The Mongolz,3.0,8.0,11
MOUZ,FURIA Esports,6.0,5.0,11
BIG,Heroic,5.0,6.0,11
FURIA Esports,MOUZ,5.0,6.0,11
Team Vitality,Team Falcons,6.0,5.0,11
TYLOO,Lynn Vision Gaming,4.0,7.0,11
FURIA Esports,Team Falcons,5.0,6.0,11
Team Falcons,FURIA Esports,6.0,5.0,11
