team,month,actual,fitted,forecast,lo80,hi80
Aurora Gaming,2026-07,NA,NA,1817.3339849636645,1733.6846175571966,1900.9833523701325
Aurora Gaming,2026-08,NA,NA,1839.948318466555,1687.6051588450225,1992.2914780880876
Aurora Gaming,2026-09,NA,NA,1862.5626519694456,1618.260202289949,2106.8651016489425
B8 Esports,2026-07,NA,NA,1700.4683660374078,1625.481141638405,1775.4555904364106
B8 Esports,2026-08,NA,NA,1734.3703613118153,1617.9725966093868,1850.7681260142438
B8 Esports,2026-09,NA,NA,1768.2723565862227,1591.1269637920639,1945.4177493803816
BetBoom Team,2026-07,NA,NA,1822.6986544773333,1762.0313186766898,1883.3659902779768
BetBoom Team,2026-08,NA,NA,1848.3233550332748,1770.1105375085642,1926.5361725579853
BetBoom Team,2026-09,NA,NA,1873.9480555892162,1766.2453954216685,1981.650715756764
FaZe Clan,2026-06,NA,NA,1673.1059824203803,1620.9410759618752,1725.2708888788854
FaZe Clan,2026-07,NA,NA,1700.5748386653709,1594.6902004548383,1806.4594768759034
FaZe Clan,2026-08,NA,NA,1728.0436949103614,1553.9319213823642,1902.1554684383586
Fnatic,2026-06,NA,NA,1613.8366079535815,1551.4997905511816,1676.1734253559814
Fnatic,2026-07,NA,NA,1637.3421132305843,1556.7094584206961,1717.9747680404726
Fnatic,2026-08,NA,NA,1660.8476185075872,1549.5504756340656,1772.1447613811088
FURIA Esports,2026-07,NA,NA,1930.36331925868,1870.9610180314733,1989.7656204858865
FURIA Esports,2026-08,NA,NA,1987.1510789025565,1862.0592535818853,2112.2429042232275
FURIA Esports,2026-09,NA,NA,2043.938838546433,1836.7759549337097,2251.1017221591565
Monte,2026-07,NA,NA,1661.2211969058033,1617.197698587906,1705.2446952237005
Monte,2026-08,NA,NA,1674.414294500114,1599.6122430664216,1749.2163459338065
Monte,2026-09,NA,NA,1687.6073920944248,1570.0309339430999,1805.1838502457497
PARIVISION,2026-07,NA,NA,1652.2376510855784,1573.4096468749283,1731.0656552962284
PARIVISION,2026-08,NA,NA,1583.397977804719,1490.6998213293182,1676.0961342801197
PARIVISION,2026-09,NA,NA,1514.5583045238595,1396.4655035677001,1632.651105480019
Sinners Esports,2026-07,NA,NA,1634.9717698448774,1562.7562506149907,1707.187289074764
Sinners Esports,2026-08,NA,NA,1600.685671340681,1502.102467163036,1699.268875518326
Sinners Esports,2026-09,NA,NA,1566.3995728364846,1425.5036050638694,1707.2955406090998
Team 3DMAX,2026-06,NA,NA,1609.608054276744,1542.9500100799182,1676.2660984735699
Team 3DMAX,2026-07,NA,NA,1603.7057451921205,1523.4907447702058,1683.9207456140352
Team 3DMAX,2026-08,NA,NA,1597.803436107497,1493.330774492571,1702.276097722423
