team,mape,n_months
Aurora Gaming,6.366745325634938,3
naive,1.1721396981072578,3
B8 Esports,5.81866113696562,3
naive,1.5668137432636526,3
BetBoom Team,1.4931942890132543,3
naive,1.4974606043248895,3
FaZe Clan,2.2773418777517143,3
naive,4.499458298361203,3
Fnatic,6.386320829091898,3
naive,1.4693624542702937,3
FURIA Esports,6.9247622084936875,3
naive,1.6469377634202746,3
Monte,4.913713443570005,3
naive,0.665214522500285,3
PARIVISION,8.827455700723448,3
naive,5.700775793829557,3
Sinners Esports,5.044562931027683,3
naive,2.083286822832855,3
Team 3DMAX,3.287809622130142,3
naive,2.1118967943521,3
