match_id,datetime,tournament,team1,team2,winner,score1_match,score2_match,t1_series_score,t2_series_score,games_played,bestOf,tier,total_maps,margin,is_bo1,swept,bo5_sweep
10065881,2023-01-10T09:30:00Z,PGL CS2 Major Copenhagen 2024: Open Qualifiers,my life be like,vagrants,my life be like,1,0,1,0,1,1,tier1,1,1,TRUE,FALSE,FALSE
10064136,2023-10-05T20:00:00Z,ESL Challenger League Season 46 — Europe,Sinners Esports,Sprout,Sinners Esports,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064134,2023-10-05T20:00:00Z,ESL Challenger League Season 46 — Europe,Team Space,Team Falcons,Team Space,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064133,2023-10-05T20:00:00Z,ESL Challenger League Season 46 — Europe,FORZE,B8 Esports,FORZE,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064135,2023-10-05T20:00:00Z,ESL Challenger League Season 46 — Europe,Apeks,The Prodigies,Apeks,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064132,2023-10-05T20:00:00Z,ESL Challenger League Season 46 — Europe,Monte,PARIVISION,Monte,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064139,2023-10-06T20:00:00Z,ESL Challenger League Season 46 — Europe,SAW,Pompa Team,SAW,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064142,2023-10-06T20:00:00Z,ESL Challenger League Season 46 — Europe,1win Team,ORKS,1win Team,1,0,1,0,1,3,tier2,1,1,TRUE,FALSE,FALSE
10064137,2023-10-06T20:00:00Z,ESL Challenger League Season 46 — Europe,Aurora Gaming,Sangal Esports,Aurora Gaming,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064138,2023-10-06T20:00:00Z,ESL Challenger League Season 46 — Europe,Team Spirit,RUBIK,Team Spirit,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064140,2023-10-06T20:00:00Z,ESL Challenger League Season 46 — Europe,Looking4Org,EYEBALLERS,Looking4Org,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064141,2023-10-06T20:00:00Z,ESL Challenger League Season 46 — Europe,9INE,IKLA,9INE,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064143,2023-10-06T20:00:00Z,ESL Challenger League Season 46 — Europe,Movistar Riders,Betera,Betera,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064144,2023-10-09T16:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Movistar Riders,Grindas,Movistar Riders,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064145,2023-10-09T16:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Aurora Gaming,Apeks,Apeks,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064147,2023-10-09T16:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,The Chosen Few,BIG,The Chosen Few,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064146,2023-10-09T16:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Team Spirit,Looking4Org,Team Spirit,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064148,2023-10-09T21:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Movistar Riders,Apeks,Movistar Riders,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064151,2023-10-09T21:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Looking4Org,BIG,Looking4Org,2,1,2,1,3,3,tier2,3,1,FALSE,FALSE,FALSE
10064150,2023-10-09T21:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Grindas,Aurora Gaming,Aurora Gaming,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064149,2023-10-09T21:00:00Z,ESL Challenger Jonköping 2023. Qualifiers,Team Spirit,The Chosen Few,Team Spirit,2,0,2,0,2,3,tier2,2,2,FALSE,TRUE,FALSE
10064153,2023-10-10T16:30:00Z,ESL Challenger Jonköping 2023. Qualifiers,Apeks,Looking4Org,Looking4Org,0,2,0,2,2,3,tier2,2,2,FALSE,TRUE,FALSE
